,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
41,116,27,[ 0.16176508  0.94301261 -0.10752152 -1.10927254],0,1.0,0.0,False,[ 0.18062533  0.74945509 -0.12970697 -0.85216337],{},1.0,0.00023293733985557886,1.0,1.0,6.571730613708496
42,116,28,[ 0.18062533  0.74945509 -0.12970697 -0.85216337],0,1.0,0.0,False,[ 0.19561443  0.55631732 -0.14675024 -0.60291731],{},1.0,0.00023293733985557886,1.0,1.0,6.699813365936279
43,116,29,[ 0.19561443  0.55631732 -0.14675024 -0.60291731],0,1.0,0.0,False,[ 0.20674078  0.36351967 -0.15880858 -0.35981915],{},1.0,0.00023293733985557886,1.0,1.0,6.828382968902588
44,116,30,[ 0.20674078  0.36351967 -0.15880858 -0.35981915],0,1.0,0.0,False,[ 0.21401117  0.17096955 -0.16600497 -0.12112213],{},1.0,0.00023293733985557886,1.0,1.0,6.9548659324646
45,116,31,[ 0.21401117  0.17096955 -0.16600497 -0.12112213],0,1.0,0.0,False,[ 0.21743057 -0.0214331  -0.16842741  0.11493273],{},1.0,0.00023293733985557886,1.0,1.0,7.082155704498291
46,116,32,[ 0.21743057 -0.0214331  -0.16842741  0.11493273],1,1.0,0.0,False,[ 0.2170019   0.17565153 -0.16612875 -0.22579485],{},1.0,0.00023293733985557886,1.0,1.0,7.155526638031006
47,116,33,[ 0.2170019   0.17565153 -0.16612875 -0.22579485],1,1.0,0.0,False,[ 0.22051493  0.37270989 -0.17064465 -0.56593034],{},1.0,0.00023293733985557886,1.0,1.0,7.059601783752441
48,116,34,[ 0.22051493  0.37270989 -0.17064465 -0.56593034],0,1.0,0.0,False,[ 0.22796913  0.18034086 -0.18196326 -0.33149428],{},1.0,0.00023293733985557886,1.0,1.0,6.902586460113525
49,116,35,[ 0.22796913  0.18034086 -0.18196326 -0.33149428],1,1.0,0.0,False,[ 0.23157595  0.37752333 -0.18859314 -0.67558733],{},1.0,0.00023293733985557886,1.0,1.0,7.032583236694336
50,116,36,[ 0.23157595  0.37752333 -0.18859314 -0.67558733],0,1.0,0.0,False,[ 0.23912642  0.18545289 -0.20210489 -0.44770836],{},1.0,0.00023293733985557886,1.0,1.0,6.871622562408447
